Date,MSTR_Price,MSTR_MNAV,MSTR_IV_Call_Strike,MSTR_IV_Call_IV,MSTR_IV_Put_Strike,MSTR_IV_Put_IV,MSTR_IV_Expiration,STRK_Price,STRF_Price,BTC_Price,MSTR_Shares_Outstanding,MSTR_BTC_Holdings
2025-06-08 23:54:08,374.47,83.4490270386828,375.0,0.5906413006591797,375.0,0.5570417831420901,2025-07-11,105.6,103.28,105716.484,259702000,205000
2025-06-08 23:54:32,374.47,83.4490270386828,375.0,0.5906413006591797,375.0,0.5570417831420901,2025-07-11,105.6,103.28,105716.484,259702000,205000
2025-06-08 23:55:51,374.47,83.45538617338335,375.0,0.5906413006591797,375.0,0.5570417831420901,2025-07-11,105.6,103.28,105724.54,259702000,205000
2025-06-08 23:57:18,374.47,83.45992502945684,375.0,0.5906413006591797,375.0,0.5570417831420901,2025-07-11,105.6,103.28,105730.29,259702000,205000
2025-06-09 00:10:18,374.47,83.46084069433428,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105731.45,259702000,205000
2025-06-09 00:11:19,374.47,83.46084069433428,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105731.45,259702000,205000
2025-06-09 00:12:31,374.47,236.6253771765331,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105777.7,259702000,580955
2025-06-09 00:13:34,374.47,83.4959674935118,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105775.95,259702000,205000
2025-06-09 00:15:38,374.47,236.6349739333929,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105781.99,259702000.0,580955,dynamic
2025-06-09 01:22:00,374.47,236.43368811002608,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105692.01,259702000.0,580955,dynamic
2025-06-09 01:23:46,374.47,236.59918183321656,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105765.99,259702000.0,580955,dynamic
2025-06-09 01:25:05,374.47,236.5010555535768,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105722.125,259702000.0,580955,dynamic
2025-06-09 01:25:54,374.47,236.47333680899646,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105709.734,259702000.0,580955,dynamic
2025-06-09 01:27:51,374.47,236.41494199755874,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105683.63,259702000.0,580955,dynamic
2025-06-09 01:29:21,374.47,236.45535351566414,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105701.695,259702000.0,580955,dynamic
2025-06-09 01:30:31,374.47,236.44467181076772,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105696.92,259702000.0,580955,dynamic
2025-06-09 01:32:55,374.47,236.5248684852254,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105732.77,259702000.0,580955,dynamic
2025-06-09 01:34:11,374.47,236.47695181111428,375.0,0.5994913098144532,375.0,0.5654340332031251,2025-07-11,105.6,103.28,105711.35,259702000.0,580955,dynamic
